date,SmallCap,LargeCap
1997-04,-0.0337,0.0468
1997-05,0.0595,0.0712
1997-06,0.0405,0.0488
1997-07,0.0416,0.0887
1997-08,0.0461,-0.0538
1997-09,0.0963,0.0534
1997-10,-0.0027,-0.0283
1997-11,-0.0368,0.0435
1997-12,-0.0663,0.0217
1998-01,0.0324,0.0089
1998-02,0.0473,0.0767
1998-03,0.0509,0.0549
1998-04,0.0422,0.0123
1998-05,-0.0397,-0.0222
1998-06,-0.049,0.0304
1998-07,-0.0498,-0.0126
1998-08,-0.205,-0.1508
1998-09,0.0062,0.068
1998-10,0.0134,0.0919
1998-11,0.0967,0.0578
1998-12,0.0019,0.0553
1999-01,0.127,0.0284
1999-02,-0.0323,-0.0203
1999-03,-0.0304,0.0291
1999-04,0.0771,0.0698
1999-05,0.0449,-0.0141
1999-06,0.026,0.0365
1999-07,0.0317,-0.0366
1999-08,-0.0356,-0.0197
1999-09,-0.0275,-0.0329
1999-10,-0.012,0.0642
1999-11,0.127,0.0139
1999-12,0.0936,0.0304
2000-01,0.1365,-0.0378
2000-02,0.195,-0.0559
2000-03,-0.0194,0.1135
2000-04,-0.1173,-0.0062
2000-05,-0.0741,0.0139
2000-06,0.0847,-0.0196
2000-07,-0.0203,-0.0163
2000-08,0.0406,0.1026
2000-09,-0.0408,-0.0295
2000-10,-0.078,-0.0173
